DATAFLOW,LAST UPDATE,freq,tra_mode,duration,purpose,c_dest,statinfo,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EL,2014,76.62,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EL,2015,72.96,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EL,2016,81.29,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EL,2017,80.01,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EL,2018,81.13,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EL,2019,94.31,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EL,2020,77.33,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EL,2021,82.61,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EL,2022,103.90,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,ES,2013,40.84,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,ES,2014,42.08,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,ES,2015,66.53,b
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,ES,2016,68.16,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,ES,2017,67.48,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,ES,2018,74.33,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,ES,2019,74.04,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,ES,2020,52.86,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,ES,2021,56.10,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,ES,2022,83.07,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EU27_2020,2013,110.84,e
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EU27_2020,2014,106.57,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EU27_2020,2015,110.56,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EU27_2020,2016,107.79,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EU27_2020,2017,130.71,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EU27_2020,2018,135.33,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EU27_2020,2019,127.51,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EU27_2020,2020,79.93,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EU27_2020,2021,85.63,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,EU27_2020,2022,123.94,e
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,FI,2013,116.73,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,FI,2014,118.20,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,FI,2015,116.77,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,FI,2016,113.54,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,FI,2017,115.09,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,FI,2018,127.87,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,FI,2019,121.60,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,FI,2020,72.66,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,FI,2021,60.28,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,FI,2022,117.30,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,FR,2013,100.00,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,FR,2014,101.90,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,FR,2015,100.27,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,FR,2016,98.40,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,FR,2017,101.35,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,FR,2018,103.77,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,FR,2019,102.18,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,FR,2020,85.08,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,FR,2021,80.74,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,FR,2022,103.58,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,HR,2013,63.53,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,HR,2014,76.98,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,HR,2015,106.11,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,HR,2016,89.45,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,HR,2017,92.28,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,HR,2018,95.89,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,HR,2019,84.39,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,HR,2020,59.54,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,HR,2021,69.56,
ESTAT:TOUR_DEM_EXTR(1.0),15/01/24 23:00:00,A,TOTAL,N_GE1,TOTAL,WORLD,AVG_TRP,EUR,HR,2022,86.00,
