DATAFLOW,LAST UPDATE,freq,accomunit,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE2,2016,41,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE2,2017,44,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE2,2018,44,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE2,2019,43,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE2,2020,24.01,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE2,2021,29.38,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE2,2022,38.33,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE21,2013,41.2,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE21,2014,,c
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE21,2015,44.61,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE21,2016,41,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE21,2017,44,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE21,2018,44,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE21,2019,44,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE21,2020,18.91,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE21,2021,27.5,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE21,2022,38.85,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE22,2013,33.9,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE22,2014,,c
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE22,2015,38.21,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE22,2016,39,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE22,2017,38,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE22,2018,37,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE22,2019,37,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE22,2020,27.94,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE22,2021,36.08,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE22,2022,34.92,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE23,2013,42.3,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE23,2014,,c
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE23,2015,45.66,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE23,2016,44,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE23,2017,49,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE23,2018,48,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE23,2019,47,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE23,2020,25.71,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE23,2021,26.67,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE23,2022,35.73,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE24,2013,38.8,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE24,2014,,c
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE24,2015,39.57,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE24,2016,35,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE24,2017,38,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE24,2018,39,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE24,2019,41,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE24,2020,17.42,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE24,2021,19.75,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE24,2022,36.2,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE25,2013,42.3,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE25,2014,,c
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE25,2015,45.51,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE25,2016,44,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE25,2017,47,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE25,2018,45,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE25,2019,44,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE25,2020,28.23,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE25,2021,33.44,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE25,2022,40.6,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE3,2013,31.4,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE3,2014,,c
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE3,2015,37.52,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE3,2016,37,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE3,2017,39,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE3,2018,39,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE3,2019,40,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE3,2020,28.63,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE3,2021,35.58,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE3,2022,40.36,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE31,2013,38.5,
ESTAT:TOUR_OCC_ANOR2(1.0),12/01/24 23:00:00,A,BEDPL,PC,BE31,2014,,c
