DATAFLOW,LAST UPDATE,freq,c_resid,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE21,2015,1292593,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE21,2016,1192638,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE21,2017,1281654,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE21,2018,1333092,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE21,2019,1363271,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE21,2020,459823,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE21,2021,778177,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE22,2012,393470,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE22,2013,375234,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE22,2014,369384,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE22,2015,402752,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE22,2016,414389,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE22,2017,395254,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE22,2018,431312,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE22,2019,442982,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE22,2020,230289,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE22,2021,325210,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE23,2012,627485,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE23,2013,647772,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE23,2014,671972,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE23,2015,689410,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE23,2016,664461,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE23,2017,706705,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE23,2018,761340,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE23,2019,781347,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE23,2020,303472,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE23,2021,458386,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE24,2012,874593,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE24,2013,954045,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE24,2014,992997,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE24,2015,1014742,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE24,2016,902489,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE24,2017,998536,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE24,2018,1083443,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE24,2019,1097638,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE24,2020,293609,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE24,2021,390780,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE25,2012,2016076,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE25,2013,2074751,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE25,2014,2196303,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE25,2015,2289256,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE25,2016,2151391,
ESTAT:TOUR_OCC_ARN2(1.0),12/01/24 23:00:00,A,TOTAL,NR,I551,BE25,2017,2265943,
